#ppt,,,,,,,,,,,,,,,,,,,,,,,,
,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d)
2015-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-04T00:00:00Z,6.9704194,6.9704194,6.9704194,6.9704194,6.9704194,6.9704194,6.9704194,6.9704194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05T00:00:00Z,22.154259,22.154259,22.154259,22.154259,22.154259,22.154259,22.154259,22.154259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06T00:00:00Z,1.6025913,1.6025913,1.6025913,1.6025913,1.6025913,1.6025913,1.6025913,1.6025913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07T00:00:00Z,0.50967866,0.50967866,0.50967866,0.50967866,0.50967866,0.50967866,0.50967866,0.50967866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-09T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11T00:00:00Z,17.800526,17.800526,17.800526,17.800526,17.800526,17.800526,17.800526,17.800526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12T00:00:00Z,16.099867,16.099867,16.099867,16.099867,16.099867,16.099867,16.099867,16.099867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-13T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16T00:00:00Z,0.02639438,0.02639438,0.02639438,0.02639438,0.02639438,0.02639438,0.02639438,0.02639438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17T00:00:00Z,1.5344082,1.5344082,1.5344082,1.5344082,1.5344082,1.5344082,1.5344082,1.5344082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-21T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24T00:00:00Z,15.614409,15.614409,15.614409,15.614409,15.614409,15.614409,15.614409,15.614409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25T00:00:00Z,18.723034,18.723034,18.723034,18.723034,18.723034,18.723034,18.723034,18.723034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27T00:00:00Z,10.478003,10.478003,10.478003,10.478003,10.478003,10.478003,10.478003,10.478003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28T00:00:00Z,9.545462,9.545462,9.545462,9.545462,9.545462,9.545462,9.545462,9.545462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,1.4422923,1.4422923,1.4422923,1.4422923,1.4422923,1.4422923,1.4422923,1.4422923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03T00:00:00Z,6.551862,6.551862,6.551862,6.551862,6.551862,6.551862,6.551862,6.551862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
