Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1997	12	18.51504	-4.84943	173.8	98.51100616	390	0
1998	1	22.7752	-8.3943	188.4	184.6463311	390	0
1998	2	24.20962	-2.0642	247.6	160.4203851	390	0
1998	3	29.83297	-5.3717	354.9	177.1941692	390	0
1998	4	28.36935	3.73425	461.6	149.3498868	390	0
1998	5	33.92037	9.5902	496.1	90.9137482	390	0
1998	6	38.10113	10.33392	531.8	53.05577465	390	0
1998	7	36.87127	17.42803	531.2	93.9311728	390	0
1998	8	36.35024	15.2708	445.4	117.9104597	390	0
1998	9	33.4293	9.40054	378.1	97.19207646	390	0
1998	10	30.97823	-2.37693	309.5	35.95626551	390	0
1998	11	25.84268	-1.37702	215.5	49.18894184	390	0
1998	12	25.89852	-4.63688	173.8	84.20658332	390	0
1999	1	25.47054	-9.0024	188.4	165.0898642	390	0
1999	2	25.19506	-5.97227	247.6	53.55163599	390	0
1999	3	25.6438	-5.02943	354.9	83.89937912	390	0
1999	4	31.3434	3.627	461.6	90.7534565	390	0
1999	5	31.5451	5.4999	496.1	59.19854894	390	0
1999	6	34.57836	13.2121	531.8	85.42714157	390	0
1999	7	38.4695	16.30685	531.2	94.90945868	390	0
1999	8	38.25414	13.62234	445.4	111.0564177	390	0
1999	9	32.6594	8.45004	378.1	392.0788061	390	0
1999	10	28.79763	0.76446	309.5	132.3001348	390	0
1999	11	26.45303	-3.737	215.5	36.5430262	390	0
1999	12	21.11596	-7.12635	173.8	53.73432346	390	0
2000	1	23.79202	-12.07624	188.4	156.5717356	390	0
2000	2	24.3901	-6.15232	247.6	53.97671414	390	0
2000	3	28.0477	-2.52183	354.9	66.63644535	390	0
2000	4	28.91863	1.54934	461.6	90.34872913	390	0
2000	5	34.4607	8.6509	496.1	32.2897644	390	0
2000	6	34.8831	10.38766	531.8	122.2788502	390	0
2000	7	35.60247	15.57028	531.2	157.8865671	390	0
2000	8	34.9406	14.5437	445.4	107.7645441	390	0
2000	9	31.72738	7.83486	378.1	199.8268887	390	0
2000	10	30.86276	-1.67353	309.5	0.018938463	390	0
2000	11	26.6688	-7.27628	215.5	78.58328663	390	0
2000	12	18.70126	-11.64973	173.8	37.68075175	390	0
2001	1	20.71133	-8.12455	188.4	32.28982898	390	0
2001	2	23.90783	-5.48496	247.6	64.50399704	390	0
2001	3	24.54388	-2.7844	354.9	131.1006793	390	0
2001	4	32.36437	-1.46512	461.6	38.94894108	390	0
2001	5	32.93533	8.99627	496.1	65.17367387	390	0
2001	6	34.15658	15.2601	531.8	172.3496756	390	0
2001	7	34.24996	13.81674	531.2	94.09853858	390	0
2001	8	36.2005	16.56094	445.4	126.0413313	390	0
2001	9	30.21874	6.65084	378.1	68.1720532	390	0
2001	10	30.6326	-3.1215	309.5	34.9925169	390	0
2001	11	27.93002	-2.85398	215.5	30.98211743	390	0
2001	12	24.47854	-7.0347	173.8	29.0364588	390	0
2002	1	26.90396	-10.92014	188.4	128.285193	390	0
2002	2	26.26705	-8.7644	247.6	39.17172797	390	0
2002	3	28.66448	-6.03147	354.9	81.16781758	390	0
2002	4	33.7109	-0.67795	461.6	52.22584217	390	0
2002	5	34.04067	4.74447	496.1	57.11239288	390	0
2002	6	36.34722	12.6679	531.8	58.3737165	390	0
2002	7	38.09423	17.59002	531.2	105.1475974	390	0
2002	8	37.87078	12.86917	445.4	119.3471039	390	0
2002	9	33.45803	14.25106	378.1	80.22398043	390	0
2002	10	31.11855	4.08825	309.5	133.799011	390	0
2002	11	25.66497	-5.01957	215.5	97.9933138	390	0
2002	12	20.53356	-7.04386	173.8	107.0234017	390	0
2003	1	20.5083	-12.22446	188.4	43.36811226	390	0
2003	2	23.56408	-5.37308	247.6	124.0300531	390	0
2003	3	25.54794	-1.4544	354.9	151.7938295	390	0
2003	4	28.7482	-0.723	461.6	126.8416395	390	0
2003	5	32.5523	8.4958	496.1	166.5280278	390	0
2003	6	33.3026	10.08553	531.8	153.7690453	390	0
2003	7	34.2462	18.27804	531.2	208.8974586	390	0
2003	8	35.0349	17.9409	445.4	175.2531264	390	0
2003	9	31.3665	5.841	378.1	130.3360091	390	0
2003	10	26.95318	1.55383	309.5	100.1857892	390	0
2003	11	28.7182	-3.35157	215.5	37.64853221	390	0
2003	12	20.8504	-6.33167	173.8	78.85480382	390	0
2004	1	24.0457	-9.1794	188.4	31.1199165	390	0
2004	2	21.8318	-6.75352	247.6	124.5349819	390	0
2004	3	28.15206	-3.68333	354.9	26.60735266	390	0
2004	4	30.79138	-0.73273	461.6	82.64415055	390	0
2004	5	34.51818	5.38632	496.1	99.32424899	390	0
2004	6	33.63058	15.65756	531.8	118.7635738	390	0
2004	7	35.68878	15.43572	531.2	104.0814022	390	0
2004	8	34.18936	11.42822	445.4	252.9862241	390	0
2004	9	29.48623	8.5461	378.1	171.9352994	390	0
2004	10	28.29937	4.3615	309.5	25.05362846	390	0
2004	11	28.67425	-3.3185	215.5	79.21156804	390	0
2004	12	25.48782	-10.70902	173.8	44.5831493	390	0
2005	1	23.47347	-10.92774	188.4	63.36760594	390	0
2005	2	23.13375	-3.82728	247.6	66.85751612	390	0
2005	3	25.63622	-5.09058	354.9	86.06168358	390	0
2005	4	28.85705	0.25063	461.6	70.35923828	390	0
2005	5	31.92455	4.65368	496.1	61.41492564	390	0
2005	6	34.84063	15.0835	531.8	119.5687445	390	0
2005	7	38.16955	20.44235	531.2	160.6727248	390	0
2005	8	35.61596	17.17513	445.4	90.44519647	390	0
2005	9	33.45233	14.41052	378.1	47.38985083	390	0
2005	10	29.97592	0.32934	309.5	107.5662868	390	0
2005	11	26.75027	-6.63178	215.5	105.452222	390	0
2005	12	20.46987	-5.94584	173.8	110.1902036	390	0
2006	1	21.48004	-6.12318	188.4	61.52210514	390	0
2006	2	21.6384	-6.1664	247.6	49.79261127	390	0
2006	3	29.74554	-3.75727	354.9	28.28566218	390	0
2006	4	31.46435	3.03887	461.6	86.7483052	390	0
2006	5	32.95144	6.01388	496.1	77.55344049	390	0
2006	6	33.80303	11.4228	531.8	238.4229188	390	0
2006	7	35.31725	13.90997	531.2	89.47058692	390	0
2006	8	37.24035	17.95294	445.4	111.9227605	390	0
